[2023-08-21 09:13:17,872] Step 01 - Open URL 'https://demo.guru99.com/v4/'
[2023-08-21 09:13:25,881] Step 02 - Input to USERID value mngr522589
[2023-08-21 09:13:26,130] Step 03 - Input to Password value epEhEgY
[2023-08-21 09:13:26,351] Step 04 - Click to login button
[2023-08-21 09:13:57,658] Step 01 - Open URL 'https://demo.guru99.com/v4/'
[2023-08-21 09:14:02,808] Step 02 - Input to USERID value mngr522589
[2023-08-21 09:14:03,034] Step 03 - Input to Password value epEhEgY
[2023-08-21 09:14:03,258] Step 04 - Click to login button
[2023-08-21 09:14:04,256] Verify Login successfully
[2023-08-21 09:14:04,553] NC1 01: Open New Customer Page
[2023-08-21 09:14:04,873] NC1 02: Enter to Customer Name ''
[2023-08-21 09:14:07,523] NC1 03: Press TAB to navigate next field
[2023-08-21 09:14:07,572] NC1 04: Verify error message is displayed
[2023-08-21 09:14:07,755] NC2 01: Enter to Customer Name value 'Acc1234'
[2023-08-21 09:14:07,902] NC2 02: Verify error message is displayed
[2023-08-21 09:14:07,989] NC3 01: Enter to Customer Name value '123123@##!'
[2023-08-21 09:14:08,135] NC3 02: Verify error message is displayed
[2023-08-21 09:14:08,221] N4 01: Enter to Customer Name value ' dsdsdsdsdsd'
[2023-08-21 09:14:08,485] N4 02: Verify error message is displayed
[2023-08-21 09:14:08,576] N5 01: Enter to Address value ''
[2023-08-21 09:14:08,711] N5 02: Press tab key to next field
[2023-08-21 09:14:08,771] N5 03: Verify error message is displayed
[2023-08-21 09:14:08,875] N6 01: Enter to Customer Name value ' dsdsdsdsdsd'
[2023-08-21 09:14:09,026] N6 02: Verify error message is displayed
[2023-08-21 09:14:09,106] N8 01: Enter to City value ''
[2023-08-21 09:14:09,241] N8 02: Press tab to navigate next field
[2023-08-21 09:14:09,291] N8 03: Verify error message is displayed
[2023-08-21 09:14:09,371] N9 01: Enter to City value '213123123'
[2023-08-21 09:14:09,505] N9 02: Verify error message is displayed
[2023-08-21 09:14:09,602] N10 01: Enter to City value '!@#@#!#@!#@#!@!#'
[2023-08-21 09:14:09,769] N10 02: Verify error message is displayed
[2023-08-21 09:14:09,852] N11 01: Enter to City value ' dsdsdsdsdsd'
[2023-08-21 09:14:09,988] N11 02: Verify error message is displayed
[2023-08-21 09:14:10,081] N12 01: Enter to State value ''
[2023-08-21 09:14:10,234] N12 02: Press tab to navigate next field
[2023-08-21 09:14:10,284] N12 03: Verify error message is displayed
[2023-08-21 09:14:10,377] N13 01: Enter to State value '123123123123'
[2023-08-21 09:14:10,569] N13 02: Verify error message is displayed
[2023-08-21 09:14:10,657] N14 01: Enter to State value '@&*!#^&*@!#^&'
[2023-08-21 09:14:10,800] N14 02: Verify error message is displayed
[2023-08-21 09:14:10,890] N15 01: Enter to State value ' dsdsdsdsdsd'
[2023-08-21 09:14:11,023] N15 02: Verify error message is displayed
[2023-08-21 09:14:11,111] N16 01: Enter to PIN value ''
[2023-08-21 09:14:11,246] N16 02: Press Tab to navigate next field
[2023-08-21 09:14:11,292] N16 02: Verify error message is displayed
[2023-08-21 09:14:11,372] N17 01: Enter to PIN value '123PIN'
[2023-08-21 09:14:11,503] N17 02: Verify error message is displayed
[2023-08-21 09:14:11,592] N18 01: Enter to PIN value '12345'
[2023-08-21 09:14:11,727] N18 02: Verify error message is displayed
[2023-08-21 09:14:11,817] N19 01: Enter to PIN value '123$$$$'
[2023-08-21 09:14:11,946] N19 02: Verify error message is displayed
[2023-08-21 09:14:12,034] NC20 01: Enter to PIN value ' sadsadsad'
[2023-08-21 09:14:12,176] NC20 02: Verify error message is displayed
[2023-08-21 09:14:12,309] NC21 01: Enter to PIN value '23 454'
[2023-08-21 09:14:12,465] NC21 02: Verify error message is displayed
[2023-08-21 09:14:12,532] NC22 01: Enter to Telephone value ''
[2023-08-21 09:14:12,667] NC22 02: Press Tab to navigate next field
[2023-08-21 09:14:12,714] NC22 03: Verify error message is displayed
[2023-08-21 09:14:12,797] NC23 01: Enter to PIN value ' sadsfsdfsdfsdf'
[2023-08-21 09:14:12,936] NC23 02: Verify error message is displayed
[2023-08-21 09:14:12,999] NC24 01: Enter to Telephone value '12312 34435'
[2023-08-21 09:14:13,158] NC24 02: Verify error message is displayed
[2023-08-21 09:14:13,247] NC25 01: Enter to Telephone value '13123@##'
[2023-08-21 09:14:13,376] NC25 02: Verify error message is displayed
[2023-08-21 09:14:13,464] NC26 01: Enter to Email value ''
[2023-08-21 09:14:13,602] NC26 01: Press Tab to navigate next field
[2023-08-21 09:14:13,647] NC26 03: Verify error message is displayed
[2023-08-21 09:14:13,738] NC27 01: Enter to Email value '13123@##'
[2023-08-21 09:14:13,886] NC27 02: Verify error message is displayed
[2023-08-21 09:14:14,019] NC29 01: Enter to Email value ' asdasdasdasd'
[2023-08-21 09:14:14,240] NC29 02: Verify error message is displayed
[2023-08-21 09:14:14,321] NC30 01: Click to Reset Button to clear all field
[2023-08-21 09:14:14,443] NC30 02: Click to Submit Button
[2023-08-21 09:14:14,551] NC30 03: Verify all field is required
[2023-08-21 09:14:14,562] OS name = windows 10
[2023-08-21 09:14:14,562] Driver instance name = chromedriver: chrome on windows (2591235cce5cc710ff2b35a19bc9349c)
[2023-08-21 09:14:14,583] unexpected alert open: {Alert text : please fill all fields}
  (Session info: chrome=116.0.5845.97): please fill all fields
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'VN-TANTRANDINH2', ip: '192.168.180.99', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.19'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 116.0.5845.97, chrome: {chromedriverVersion: 116.0.5845.96 (1a3918166880..., userDataDir: C:\Users\TAN~1.TRA\AppData\...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:57730}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: 2591235cce5cc710ff2b35a19bc9349c
[2023-08-21 09:15:06,450] Step 01 - Open URL 'https://demo.guru99.com/v4/'
[2023-08-21 09:15:11,990] Step 02 - Input to USERID value mngr522589
[2023-08-21 09:15:12,231] Step 03 - Input to Password value epEhEgY
[2023-08-21 09:15:12,413] Step 04 - Click to login button
[2023-08-21 09:15:13,377] Verify Login successfully
[2023-08-21 09:15:13,588] NC1 01: Open New Customer Page
[2023-08-21 09:15:14,312] NC1 02: Enter to Customer Name ''
[2023-08-21 09:15:14,484] NC1 03: Press TAB to navigate next field
[2023-08-21 09:15:14,636] NC1 04: Verify error message is displayed
[2023-08-21 09:15:14,845] NC2 01: Enter to Customer Name value 'Acc1234'
[2023-08-21 09:15:14,989] NC2 02: Verify error message is displayed
[2023-08-21 09:15:15,088] NC3 01: Enter to Customer Name value '123123@##!'
[2023-08-21 09:15:15,227] NC3 02: Verify error message is displayed
[2023-08-21 09:15:15,317] N4 01: Enter to Customer Name value ' dsdsdsdsdsd'
[2023-08-21 09:15:15,451] N4 02: Verify error message is displayed
[2023-08-21 09:15:15,532] N5 01: Enter to Address value ''
[2023-08-21 09:15:15,668] N5 02: Press tab key to next field
[2023-08-21 09:15:15,714] N5 03: Verify error message is displayed
[2023-08-21 09:15:15,795] N6 01: Enter to Customer Name value ' dsdsdsdsdsd'
[2023-08-21 09:15:15,945] N6 02: Verify error message is displayed
[2023-08-21 09:15:16,027] N8 01: Enter to City value ''
[2023-08-21 09:15:16,162] N8 02: Press tab to navigate next field
[2023-08-21 09:15:16,209] N8 03: Verify error message is displayed
[2023-08-21 09:15:16,290] N9 01: Enter to City value '213123123'
[2023-08-21 09:15:16,508] N9 02: Verify error message is displayed
[2023-08-21 09:15:16,607] N10 01: Enter to City value '!@#@#!#@!#@#!@!#'
[2023-08-21 09:15:16,775] N10 02: Verify error message is displayed
[2023-08-21 09:15:16,863] N11 01: Enter to City value ' dsdsdsdsdsd'
[2023-08-21 09:15:16,995] N11 02: Verify error message is displayed
[2023-08-21 09:15:17,096] N12 01: Enter to State value ''
[2023-08-21 09:15:17,328] N12 02: Press tab to navigate next field
[2023-08-21 09:15:17,375] N12 03: Verify error message is displayed
[2023-08-21 09:15:17,455] N13 01: Enter to State value '123123123123'
[2023-08-21 09:15:17,602] N13 02: Verify error message is displayed
[2023-08-21 09:15:17,686] N14 01: Enter to State value '@&*!#^&*@!#^&'
[2023-08-21 09:15:17,841] N14 02: Verify error message is displayed
[2023-08-21 09:15:17,943] N15 01: Enter to State value ' dsdsdsdsdsd'
[2023-08-21 09:15:18,075] N15 02: Verify error message is displayed
[2023-08-21 09:15:18,163] N16 01: Enter to PIN value ''
[2023-08-21 09:15:18,314] N16 02: Press Tab to navigate next field
[2023-08-21 09:15:18,361] N16 02: Verify error message is displayed
[2023-08-21 09:15:18,442] N17 01: Enter to PIN value '123PIN'
[2023-08-21 09:15:18,573] N17 02: Verify error message is displayed
[2023-08-21 09:15:18,666] N18 01: Enter to PIN value '12345'
[2023-08-21 09:15:18,879] N18 02: Verify error message is displayed
[2023-08-21 09:15:18,984] N19 01: Enter to PIN value '123$$$$'
[2023-08-21 09:15:19,143] N19 02: Verify error message is displayed
[2023-08-21 09:15:19,233] NC20 01: Enter to PIN value ' sadsadsad'
[2023-08-21 09:15:19,374] NC20 02: Verify error message is displayed
[2023-08-21 09:15:19,461] NC21 01: Enter to PIN value '23 454'
[2023-08-21 09:15:19,587] NC21 02: Verify error message is displayed
[2023-08-21 09:15:19,693] NC22 01: Enter to Telephone value ''
[2023-08-21 09:15:19,876] NC22 02: Press Tab to navigate next field
[2023-08-21 09:15:19,928] NC22 03: Verify error message is displayed
[2023-08-21 09:15:20,005] NC23 01: Enter to PIN value ' sadsfsdfsdfsdf'
[2023-08-21 09:15:20,155] NC23 02: Verify error message is displayed
[2023-08-21 09:15:20,235] NC24 01: Enter to Telephone value '12312 34435'
[2023-08-21 09:15:20,370] NC24 02: Verify error message is displayed
[2023-08-21 09:15:20,438] NC25 01: Enter to Telephone value '13123@##'
[2023-08-21 09:15:20,563] NC25 02: Verify error message is displayed
[2023-08-21 09:15:20,640] NC26 01: Enter to Email value ''
[2023-08-21 09:15:20,791] NC26 01: Press Tab to navigate next field
[2023-08-21 09:15:20,837] NC26 03: Verify error message is displayed
[2023-08-21 09:15:20,918] NC27 01: Enter to Email value '13123@##'
[2023-08-21 09:15:21,045] NC27 02: Verify error message is displayed
[2023-08-21 09:15:21,141] NC29 01: Enter to Email value ' asdasdasdasd'
[2023-08-21 09:15:21,285] NC29 02: Verify error message is displayed
[2023-08-21 09:15:21,365] NC30 01: Click to Reset Button to clear all field
[2023-08-21 09:15:21,557] NC30 02: Click to Submit Button
[2023-08-21 09:15:21,678] NC30 03: Verify all field is required
[2023-08-21 09:15:21,689] OS name = windows 10
[2023-08-21 09:15:21,689] Driver instance name = chromedriver: chrome on windows (0035633fa3ef9993f1ef4deae9b57bf6)
[2023-08-21 09:15:21,704] unexpected alert open: {Alert text : please fill all fields}
  (Session info: chrome=116.0.5845.97): please fill all fields
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'VN-TANTRANDINH2', ip: '192.168.180.99', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.19'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 116.0.5845.97, chrome: {chromedriverVersion: 116.0.5845.96 (1a3918166880..., userDataDir: C:\Users\TAN~1.TRA\AppData\...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:57890}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: 0035633fa3ef9993f1ef4deae9b57bf6
[2023-08-21 09:15:55,237] Step 01 - Open URL 'https://demo.guru99.com/v4/'
[2023-08-21 09:16:00,667] Step 02 - Input to USERID value mngr522589
[2023-08-21 09:16:00,909] Step 03 - Input to Password value epEhEgY
[2023-08-21 09:16:01,092] Step 04 - Click to login button
[2023-08-21 09:16:02,087] Verify Login successfully
[2023-08-21 09:16:02,329] NC1 01: Open New Customer Page
[2023-08-21 09:16:02,962] NC1 02: Enter to Customer Name ''
[2023-08-21 09:16:03,135] NC1 03: Press TAB to navigate next field
[2023-08-21 09:16:03,208] NC1 04: Verify error message is displayed
[2023-08-21 09:16:03,482] NC2 01: Enter to Customer Name value 'Acc1234'
[2023-08-21 09:16:03,669] NC2 02: Verify error message is displayed
[2023-08-21 09:16:03,749] NC3 01: Enter to Customer Name value '123123@##!'
[2023-08-21 09:16:03,910] NC3 02: Verify error message is displayed
[2023-08-21 09:16:03,997] N4 01: Enter to Customer Name value ' dsdsdsdsdsd'
[2023-08-21 09:16:04,160] N4 02: Verify error message is displayed
[2023-08-21 09:16:04,242] N5 01: Enter to Address value ''
[2023-08-21 09:16:04,379] N5 02: Press tab key to next field
[2023-08-21 09:16:04,428] N5 03: Verify error message is displayed
[2023-08-21 09:16:04,506] N6 01: Enter to Customer Name value ' dsdsdsdsdsd'
[2023-08-21 09:16:04,658] N6 02: Verify error message is displayed
[2023-08-21 09:16:04,737] N8 01: Enter to City value ''
[2023-08-21 09:16:04,871] N8 02: Press tab to navigate next field
[2023-08-21 09:16:04,919] N8 03: Verify error message is displayed
[2023-08-21 09:16:05,000] N9 01: Enter to City value '213123123'
[2023-08-21 09:16:05,135] N9 02: Verify error message is displayed
[2023-08-21 09:16:05,218] N10 01: Enter to City value '!@#@#!#@!#@#!@!#'
[2023-08-21 09:16:05,412] N10 02: Verify error message is displayed
[2023-08-21 09:16:05,494] N11 01: Enter to City value ' dsdsdsdsdsd'
[2023-08-21 09:16:05,629] N11 02: Verify error message is displayed
[2023-08-21 09:16:05,715] N12 01: Enter to State value ''
[2023-08-21 09:16:05,836] N12 02: Press tab to navigate next field
[2023-08-21 09:16:05,884] N12 03: Verify error message is displayed
[2023-08-21 09:16:05,965] N13 01: Enter to State value '123123123123'
[2023-08-21 09:16:06,099] N13 02: Verify error message is displayed
[2023-08-21 09:16:06,180] N14 01: Enter to State value '@&*!#^&*@!#^&'
[2023-08-21 09:16:06,325] N14 02: Verify error message is displayed
[2023-08-21 09:16:06,415] N15 01: Enter to State value ' dsdsdsdsdsd'
[2023-08-21 09:16:06,549] N15 02: Verify error message is displayed
[2023-08-21 09:16:06,634] N16 01: Enter to PIN value ''
[2023-08-21 09:16:06,819] N16 02: Press Tab to navigate next field
[2023-08-21 09:16:06,868] N16 02: Verify error message is displayed
[2023-08-21 09:16:06,949] N17 01: Enter to PIN value '123PIN'
[2023-08-21 09:16:07,094] N17 02: Verify error message is displayed
[2023-08-21 09:16:07,185] N18 01: Enter to PIN value '12345'
[2023-08-21 09:16:07,321] N18 02: Verify error message is displayed
[2023-08-21 09:16:07,410] N19 01: Enter to PIN value '123$$$$'
[2023-08-21 09:16:07,628] N19 02: Verify error message is displayed
[2023-08-21 09:16:07,739] NC20 01: Enter to PIN value ' sadsadsad'
[2023-08-21 09:16:07,881] NC20 02: Verify error message is displayed
[2023-08-21 09:16:07,966] NC21 01: Enter to PIN value '23 454'
[2023-08-21 09:16:08,092] NC21 02: Verify error message is displayed
[2023-08-21 09:16:08,153] NC22 01: Enter to Telephone value ''
[2023-08-21 09:16:08,291] NC22 02: Press Tab to navigate next field
[2023-08-21 09:16:08,337] NC22 03: Verify error message is displayed
[2023-08-21 09:16:08,416] NC23 01: Enter to PIN value ' sadsfsdfsdfsdf'
[2023-08-21 09:16:08,558] NC23 02: Verify error message is displayed
[2023-08-21 09:16:08,649] NC24 01: Enter to Telephone value '12312 34435'
[2023-08-21 09:16:08,842] NC24 02: Verify error message is displayed
[2023-08-21 09:16:08,909] NC25 01: Enter to Telephone value '13123@##'
[2023-08-21 09:16:09,035] NC25 02: Verify error message is displayed
[2023-08-21 09:16:09,155] NC26 01: Enter to Email value ''
[2023-08-21 09:16:09,293] NC26 01: Press Tab to navigate next field
[2023-08-21 09:16:09,343] NC26 03: Verify error message is displayed
[2023-08-21 09:16:09,423] NC27 01: Enter to Email value '13123@##'
[2023-08-21 09:16:09,556] NC27 02: Verify error message is displayed
[2023-08-21 09:16:09,640] NC29 01: Enter to Email value ' asdasdasdasd'
[2023-08-21 09:16:09,774] NC29 02: Verify error message is displayed
[2023-08-21 09:16:09,899] NC30 01: Click to Reset Button to clear all field
[2023-08-21 09:16:10,102] NC30 02: Click to Submit Button
[2023-08-21 09:16:10,210] NC30 03: Verify all field is required
[2023-08-21 09:16:10,221] OS name = windows 10
[2023-08-21 09:16:10,221] Driver instance name = chromedriver: chrome on windows (b978a13569fbfe4e48bbd01bd1f5ba7e)
[2023-08-21 09:16:10,238] unexpected alert open: {Alert text : please fill all fields}
  (Session info: chrome=116.0.5845.97): please fill all fields
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'VN-TANTRANDINH2', ip: '192.168.180.99', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.19'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 116.0.5845.97, chrome: {chromedriverVersion: 116.0.5845.96 (1a3918166880..., userDataDir: C:\Users\TAN~1.TRA\AppData\...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:57997}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: b978a13569fbfe4e48bbd01bd1f5ba7e
[2023-08-21 09:56:16,901] Step 01 - Open URL 'https://demo.guru99.com/v4/'
[2023-08-21 09:56:22,746] Step 02 - Input to USERID value mngr522589
[2023-08-21 09:56:22,985] Step 03 - Input to Password value epEhEgY
[2023-08-21 09:56:23,181] Step 04 - Click to login button
[2023-08-21 09:56:24,273] Verify Login successfully
[2023-08-21 09:56:24,531] Open Edit Customer Page
[2023-08-21 09:56:24,737] Send key to Customer ID field value: ''
[2023-08-21 09:56:28,120] Press tab to navigate next field
