[2023-08-21 17:02:58,865] Step 01 - Open URL 'https://demo.guru99.com/v4/'
[2023-08-21 17:03:05,269] Step 02 - Input to USERID value mngr522589
[2023-08-21 17:03:05,578] Step 03 - Input to Password value epEhEgY
[2023-08-21 17:03:05,740] Step 04 - Click to login button
[2023-08-21 17:03:06,724] Verify Login successfully
[2023-08-21 17:03:06,905] NC1 01: Open New Customer Page
[2023-08-21 17:03:07,608] NC1 02: Enter to Customer Name ''
[2023-08-21 17:03:07,771] NC1 03: Press TAB to navigate next field
[2023-08-21 17:03:07,847] NC1 04: Verify error message is displayed
[2023-08-21 17:03:08,107] NC2 01: Enter to Customer Name value 'Acc1234'
[2023-08-21 17:03:08,256] NC2 02: Verify error message is displayed
[2023-08-21 17:03:08,349] NC3 01: Enter to Customer Name value '123123@##!'
[2023-08-21 17:03:08,500] NC3 02: Verify error message is displayed
[2023-08-21 17:03:08,584] N4 01: Enter to Customer Name value ' dsdsdsdsdsd'
[2023-08-21 17:03:08,750] N4 02: Verify error message is displayed
[2023-08-21 17:03:08,832] N5 01: Enter to Address value ''
[2023-08-21 17:03:08,981] N5 02: Press tab key to next field
[2023-08-21 17:03:09,024] N5 03: Verify error message is displayed
[2023-08-21 17:03:09,109] N6 01: Enter to Customer Name value ' dsdsdsdsdsd'
[2023-08-21 17:03:09,257] N6 02: Verify error message is displayed
[2023-08-21 17:03:09,340] N8 01: Enter to City value ''
[2023-08-21 17:03:09,461] N8 02: Press tab to navigate next field
[2023-08-21 17:03:09,507] N8 03: Verify error message is displayed
[2023-08-21 17:03:09,590] N9 01: Enter to City value '213123123'
[2023-08-21 17:03:09,723] N9 02: Verify error message is displayed
[2023-08-21 17:03:09,810] N10 01: Enter to City value '!@#@#!#@!#@#!@!#'
[2023-08-21 17:03:09,956] N10 02: Verify error message is displayed
[2023-08-21 17:03:10,044] N11 01: Enter to City value ' dsdsdsdsdsd'
[2023-08-21 17:03:10,191] N11 02: Verify error message is displayed
[2023-08-21 17:03:10,274] N12 01: Enter to State value ''
[2023-08-21 17:03:10,410] N12 02: Press tab to navigate next field
[2023-08-21 17:03:10,457] N12 03: Verify error message is displayed
[2023-08-21 17:03:10,538] N13 01: Enter to State value '123123123123'
[2023-08-21 17:03:10,730] N13 02: Verify error message is displayed
[2023-08-21 17:03:10,821] N14 01: Enter to State value '@&*!#^&*@!#^&'
[2023-08-21 17:03:10,966] N14 02: Verify error message is displayed
[2023-08-21 17:03:11,055] N15 01: Enter to State value ' dsdsdsdsdsd'
[2023-08-21 17:03:11,187] N15 02: Verify error message is displayed
[2023-08-21 17:03:11,274] N16 01: Enter to PIN value ''
[2023-08-21 17:03:11,422] N16 02: Press Tab to navigate next field
[2023-08-21 17:03:11,470] N16 02: Verify error message is displayed
[2023-08-21 17:03:11,550] N17 01: Enter to PIN value '123PIN'
[2023-08-21 17:03:11,679] N17 02: Verify error message is displayed
[2023-08-21 17:03:11,771] N18 01: Enter to PIN value '12345'
[2023-08-21 17:03:11,908] N18 02: Verify error message is displayed
[2023-08-21 17:03:11,999] N19 01: Enter to PIN value '123$$$$'
[2023-08-21 17:03:12,127] N19 02: Verify error message is displayed
[2023-08-21 17:03:12,214] NC20 01: Enter to PIN value ' sadsadsad'
[2023-08-21 17:03:12,342] NC20 02: Verify error message is displayed
[2023-08-21 17:03:12,432] NC21 01: Enter to PIN value '23 454'
[2023-08-21 17:03:12,555] NC21 02: Verify error message is displayed
[2023-08-21 17:03:12,616] NC22 01: Enter to Telephone value ''
[2023-08-21 17:03:12,751] NC22 02: Press Tab to navigate next field
[2023-08-21 17:03:12,801] NC22 03: Verify error message is displayed
[2023-08-21 17:03:12,879] NC23 01: Enter to PIN value ' sadsfsdfsdfsdf'
[2023-08-21 17:03:13,022] NC23 02: Verify error message is displayed
[2023-08-21 17:03:13,110] NC24 01: Enter to Telephone value '12312 34435'
[2023-08-21 17:03:13,243] NC24 02: Verify error message is displayed
[2023-08-21 17:03:13,336] NC25 01: Enter to Telephone value '13123@##'
[2023-08-21 17:03:13,472] NC25 02: Verify error message is displayed
[2023-08-21 17:03:13,562] NC26 01: Enter to Email value ''
[2023-08-21 17:03:13,699] NC26 01: Press Tab to navigate next field
[2023-08-21 17:03:13,744] NC26 03: Verify error message is displayed
[2023-08-21 17:03:13,827] NC27 01: Enter to Email value '13123@##'
[2023-08-21 17:03:13,957] NC27 02: Verify error message is displayed
[2023-08-21 17:03:14,044] NC29 01: Enter to Email value ' asdasdasdasd'
[2023-08-21 17:03:14,177] NC29 02: Verify error message is displayed
[2023-08-21 17:03:14,264] NC30 01: Click to Reset Button to clear all field
[2023-08-21 17:03:14,372] NC30 02: Click to Submit Button
[2023-08-21 17:03:14,481] NC30 03: Verify all field is required
[2023-08-21 17:03:14,487] NC30 04: Accept Alert
[2023-08-21 17:03:14,509] NC31 01: Enter to Customer Name value is: 'Freeman Lakin'
[2023-08-21 17:03:14,654] NC31 02: Select to Gender value is: 'Female'
[2023-08-21 17:03:14,777] NC31 23: Enter to Date of birth value is: 08
[2023-08-21 17:03:14,978] NC31 04: Enter to Address value is: '86728 Marquardt Locks'
[2023-08-21 17:03:15,124] NC31 05: Enter to City value is: 'East Marceloburgh'
[2023-08-21 17:03:15,263] NC31 06: Enter to State value is: 'New Mexico'
[2023-08-21 17:03:15,397] NC31 07: Enter to PIN value is: 123456
[2023-08-21 17:03:15,533] NC31 08: Enter to Mobile Phone Number value is: '6553504101'
[2023-08-21 17:03:15,673] NC31 09: Enter to Email value is: 'dudley.buckridge@hotmail.com'
[2023-08-21 17:03:15,836] NC31 10: Enter to Email value is: 'ic4brx72ikxwmo'
[2023-08-21 17:03:15,987] NC31 11: Click to submit button
[2023-08-21 17:03:17,135] NC31 12: Get Customer ID
[2023-08-21 17:03:17,238] NC31 13: Customer ID value is: 96530
[2023-08-21 17:03:17,242] OS name = windows 10
[2023-08-21 17:03:17,242] Driver instance name = chromedriver: chrome on windows (83dc46339fc486eee267804977276288)
[2023-08-21 17:03:17,626] Step 01 - Open URL 'https://demo.guru99.com/v4/'
[2023-08-21 17:03:21,585] Step 02 - Input to USERID value mngr522589
[2023-08-21 17:03:21,837] Step 03 - Input to Password value epEhEgY
[2023-08-21 17:03:22,037] Step 04 - Click to login button
[2023-08-21 17:03:23,028] Verify Login successfully
[2023-08-21 17:03:23,115] Step 01 - Open Edit Customer Page
[2023-08-21 17:03:23,951] Step 02 -Send key to Customer ID field value: ''
[2023-08-21 17:03:24,114] Step 03 -Press tab to navigate next field
[2023-08-21 17:03:24,164] Step 04 -Verify error message Customer ID field
[2023-08-21 17:03:24,331] Step 01 - Send key to Customer ID field value: '123ASD'
[2023-08-21 17:03:24,459] Step 02 - Verify Error Message Displayed
[2023-08-21 17:03:24,562] Step 01 - Send key to Customer ID field value: '123$$$$$'
[2023-08-21 17:03:24,721] Step 02 - Verify Error Message Displayed
[2023-08-21 17:03:24,807] Step 01 - Send key to Customer ID field value: '96530'
[2023-08-21 17:03:24,948] Step 02 - Click to submit button
[2023-08-21 17:03:25,898] Step 01 - Send key to Customer ID field value: '96530'
[2023-08-21 17:03:26,236] Step 02 - Press Tab to navigate next field at Address Field
[2023-08-21 17:03:26,294] Step 03 - Verify Error Message Address displayed
[2023-08-21 17:03:26,392] Step 01 - Send key to City field value: 
[2023-08-21 17:03:26,531] Step 02 - Press Tab to navigate next field at City Field
[2023-08-21 17:03:26,575] Step 03 - Verify Error Message City displayed
[2023-08-21 17:03:26,654] Step 01 - Send key to City field value: 1234
[2023-08-21 17:03:26,780] Step 02 - Verify Error Message City displayed
[2023-08-21 17:03:26,860] Step 01 - Send key to City field value: !@#$$$@!
[2023-08-21 17:03:27,003] Step 02 - Verify Error Message City displayed
[2023-08-21 17:03:27,096] Step 01 - Send key to State field value: 
[2023-08-21 17:03:27,238] Step 02 - Press Tab to navigate next field at State Field
[2023-08-21 17:03:27,289] Step 03 - Verify Error Message State displayed
[2023-08-21 17:03:27,369] Step 01 - Send key to State field value: 1234
[2023-08-21 17:03:27,495] Step 02 - Verify Error Message State displayed
